num_target;   la; isd; niter;     tex; te_acc;;;;;;;
1;0;1;3;0,0601;100;;;depending on lambda;accuracy;niter;tex;
1;0;2;1;0,0021;53,6;;;lambda= 0;97,88;588,3;11,76819;
1;0;3;10;0,0671;100;;;lambda= 1;99,48;162,85;1,707165;
1;1;1;102;0,3035;100;;;lambda=10;98,8;548,95;8,18461;
1;1;2;1;0,0048;53,6;;;;;;;
1;1;3;19;0,081;100;;;;;;;
1;10;1;36;0,1444;100;;;depending on the method;accuracy;niter;tex;tex/niter
1;10;2;1;0,0018;53,6;;;GM;99,10666667;828,3;14,30091;0,017265375
1;10;3;36;0,1228;100;;;QM-BFGS;98,7862069;38,43333333;0,139066667;0,003618387
2;0;1;78;0,1924;99,6;;;;;;;
2;0;2;1;0,0015;52,8;;;;;;;
2;0;3;10;0,0298;94,8;;;;;;;
2;1;1;251;0,5737;99,6;;;;;;;
2;1;2;1;0,0019;52,8;;;;;;;
2;1;3;23;0,0836;99,6;;;;;;;
2;10;1;75;0,192;98;;;;;;;
2;10;2;1;0,0017;52,8;;;;;;;
2;10;3;35;0,1157;98;;;;;;;
3;0;1;3705;76;98,4;;;;;;;
3;0;2;1;0,0014;51,2;;;;;;;
3;0;3;49;0,1245;95,6;;;;;;;
3;1;1;412;0,8728;98,8;;;;;;;
3;1;2;1;0,0011;51,2;;;;;;;
3;1;3;23;0,0869;98,8;;;;;;;
3;10;1;104;0,2595;96,8;;;;;;;
3;10;2;1;0,0015;51,2;;;;;;;
3;10;3;43;0,1431;96,8;;;;;;;
4;0;1;3;0,0111;100;;;;;;;
4;0;2;1;0,0014;54,4;;;;;;;
4;0;3;3;0,0131;100;;;;;;;
4;1;1;108;0,2537;100;;;;;;;
4;1;2;1;0,0014;54,4;;;;;;;
4;1;3;21;0,0893;100;;;;;;;
4;10;1;54;0,1673;100;;;;;;;
4;10;2;1;0,0014;54,4;;;;;;;
4;10;3;36;0,1196;100;;;;;;;
5;0;1;5;0,0193;100;;;;;;;
5;0;2;1;0,0014;56,4;;;;;;;
5;0;3;19;0,0616;100;;;;;;;
5;1;1;175;0,4073;100;;;;;;;
5;1;2;1;0,0024;56,4;;;;;;;
5;1;3;24;0,085;100;;;;;;;
5;10;1;68;0,1914;100;;;;;;;
5;10;2;1;0,0013;56,4;;;;;;;
5;10;3;37;0,1225;100;;;;;;;
6;0;1;94;0,2277;98,8;;;;;;;
6;0;2;1;0,0011;52,8;;;;;;;
6;0;3;292;0,9138;99,2;;;;;;;
6;1;1;256;0,5729;99,6;;;;;;;
6;1;2;1;0,0016;52,8;;;;;;;
6;1;3;21;0,0875;99,6;;;;;;;
6;10;1;84;0,2349;100;;;;;;;
6;10;2;1;0,0015;52,8;;;;;;;
6;10;3;40;0,1323;100;;;;;;;
7;0;1;14;0,0441;99,6;;;;;;;
7;0;2;1;0,0026;54;;;;;;;
7;0;3;4;0,0215;99,6;;;;;;;
7;1;1;143;0,4295;100;;;;;;;
7;1;2;1;0,0026;54;;;;;;;
7;1;3;19;0,0978;100;;;;;;;
7;10;1;52;0,1943;100;;;;;;;
7;10;2;1;0,0016;54;;;;;;;
7;10;3;40;0,2226;100;;;;;;;
8;0;1;5001;105;96;;;;;;;
8;0;2;1;0,0011;53,6;;;;;;;
8;0;3;3;0,0095;85,2;;;;;;;
8;1;1;867;19;98,4;;;;;;;
8;1;2;1;0,0014;53,6;;;;;;;
8;1;3;24;0,1151;98,4;;;;;;;
8;10;1;5001;80;97,2;;;;;;;
8;10;2;1;0,0026;53,6;;;;;;;
8;10;3;36;0,1253;97,2;;;;;;;
9;0;1;2179;52;98;;;;;;;
9;0;2;1;0,0032;54;;;;;;;
9;0;3;17;0,0706;94;;;;;;;
9;1;1;435;10;98,4;;;;;;;
9;1;2;1;0,0018;54;;;;;;;
9;1;3;29;0,1918;98,4;;;;;;;
9;10;1;121;0,4007;96,4;;;;;;;
9;10;2;1;0,0012;54;;;;;;;
9;10;3;38;0,14;96,4;;;;;;;
0;0;1;140;0,3523;100;;;;;;;
0;0;2;1;0,0016;52,8;;;;;;;
0;0;3;137;0,4593;98,8;;;;;;;
0;1;1;282;0,6724;100;;;;;;;
0;1;2;1;0,0022;52,8;;;;;;;
0;1;3;23;0,1015;100;;;;;;;
0;10;1;5001;80;99,6;;;;;;;
0;10;2;1;0,0017;52,8;;;;;;;
0;10;3;42;0,1378;99,6;;;;;;;